radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
0,34,14,95,69,26,64,28,114,100,17
1,26,13,41,104,34,46,28,44,105,84
1,136,48,32,86,42,62,27,1,69,22
1,85,44,22,30,135,54,84,2,106,26
0,86,8,14,27,119,35,69,6,9,30
1,16,86,14,102,27,73,62,72,36,26
0,35,51,128,38,74,104,40,8,45,27
1,42,26,135,14,74,128,102,30,8,25
0,93,44,15,123,35,83,6,56,32,60
1,15,1,30,19,75,27,36,12,104,43
0,76,44,101,51,64,38,11,31,111,18
0,25,70,48,68,82,75,76,30,54,32
1,14,18,101,50,129,82,123,86,6,42
1,11,71,86,16,2,14,43,6,74,138
0,69,112,35,41,86,9,100,70,27,59
1,16,74,21,53,27,14,137,6,120,26
0,21,55,8,97,74,5,28,71,76,14
0,14,11,104,20,35,64,102,9,76,1
0,105,96,86,11,35,27,138,10,104,84
1,98,84,35,23,7,114,135,14,30,105
1,101,8,47,93,14,85,75,54,35,42
1,104,74,75,22,10,85,136,6,26,84
0,114,99,11,27,26,119,100,73,2,44
1,37,102,4,49,56,114,97,40,48,5
0,126,19,87,11,14,6,5,29,86,82
1,105,69,1,87,16,14,45,15,30,10
1,74,83,17,26,102,19,33,64,57,46
0,100,36,93,84,26,35,51,76,60,86
0,11,21,45,28,12,74,6,137,2,32
1,68,53,101,11,99,59,92,85,83,41
1,100,9,67,30,11,123,63,102,99,35
0,64,76,6,35,49,59,45,42,32,27
0,26,50,44,126,137,87,2,10,100,8
0,58,32,107,44,14,2,20,86,46,73
1,7,11,87,99,26,48,51,137,36,126
0,12,29,25,45,85,31,10,105,74,22
0,30,76,121,104,6,72,8,87,85,14
1,101,7,54,36,6,72,99,70,106,14
0,41,39,64,51,75,112,3,12,7,76
0,96,105,30,8,32,14,9,1,75,7
0,72,87,84,44,86,6,71,128,97,93
1,16,26,27,104,136,54,106,22,64,99
1,7,30,114,34,36,86,71,100,17,44
0,47,5,74,41,123,1,20,106,16,50
1,50,99,72,6,11,35,87,54,136,114
1,85,87,54,62,17,19,9,64,49,41
0,72,7,64,96,23,75,6,59,45,87
1,30,50,8,135,123,9,14,41,34,87
1,73,22,119,128,27,11,41,104,30,29
1,44,50,104,34,14,137,7,30,63,11
0,6,14,83,53,54,5,22,1,96,9
1,86,135,68,79,67,59,87,114,75,42
0,138,35,65,128,37,26,110,72,8,23
0,47,8,4,36,126,50,16,102,26,104
1,56,21,26,10,106,42,97,113,51,61
0,93,30,37,11,72,6,26,13,83,14
1,35,2,119,8,87,70,85,105,33,82
0,7,6,39,71,44,26,128,93,11,120
0,96,11,87,35,86,104,20,98,37,67
1,104,65,27,18,123,119,46,16,25,69
0,56,104,128,73,95,5,30,64,44,16
1,36,1,31,14,49,2,51,84,138,121
1,35,75,9,51,14,27,26,105,99,1
0,75,84,106,58,54,28,72,3,56,82
0,106,114,63,26,129,56,34,137,14,31
0,40,56,105,114,49,85,14,64,2,44
1,8,86,102,138,27,59,42,29,105,26
1,99,84,75,27,1,14,105,21,53,76
0,11,87,119,18,73,114,104,75,23,26
1,21,138,136,26,1,85,62,59,5,67
0,44,98,26,31,21,60,9,70,35,20
1,30,12,79,123,19,113,126,5,62,75
1,104,75,6,27,7,113,67,50,86,2
1,72,28,47,70,9,45,37,96,67,86
1,102,119,11,93,31,87,74,5,19,67
1,47,111,81,14,8,68,6,96,86,59
1,35,71,15,42,114,30,105,104,74,96
1,12,7,27,102,36,68,8,108,73,105
1,22,76,104,9,106,62,6,26,54,2
1,5,14,100,23,44,26,126,9,104,8
1,29,75,44,50,101,5,8,47,71,51
1,138,76,70,9,120,104,62,11,89,86
1,45,11,2,44,14,86,17,75,42,8
1,23,63,81,105,27,67,129,36,75,30
0,35,26,18,72,44,68,11,99,63,53
0,93,75,10,35,68,2,50,95,14,30
0,84,69,67,96,138,12,121,36,86,104
0,51,11,62,31,67,138,69,64,85,65
1,28,63,101,71,35,64,42,81,17,111
1,7,9,70,17,53,67,22,26,81,135
0,136,47,74,46,1,55,32,11,64,21
1,101,41,114,42,6,39,93,9,104,64
0,81,76,32,135,87,67,104,100,34,71
1,42,138,87,6,104,50,44,23,11,71
1,60,48,87,71,75,36,123,44,138,26
1,43,14,59,5,44,13,138,121,120,67
0,35,50,68,26,108,30,110,129,1,109
1,5,104,11,46,62,41,9,111,19,76
1,7,76,106,11,14,49,26,13,86,67
0,129,97,95,35,138,70,49,5,14,23
0,64,129,62,105,73,5,128,41,35,27
1,20,110,63,73,53,93,123,114,105,90
0,99,74,1,56,87,27,70,105,96,9
0,5,36,75,70,105,8,69,111,121,9
1,111,135,94,54,104,70,30,22,35,36
1,25,26,6,86,59,129,17,11,14,85
0,69,70,64,128,45,86,48,50,9,20
0,101,73,44,84,104,8,30,9,137,15
0,17,14,26,63,99,85,53,27,1,43
0,111,41,128,36,98,6,2,11,9,27
0,20,28,106,44,86,67,75,27,62,101
0,2,86,64,67,19,70,39,57,110,5
1,101,120,114,138,34,56,5,87,33,41
1,76,100,98,3,8,26,31,105,2,6
0,67,15,43,88,87,93,64,6,104,18
0,72,21,38,30,70,138,2,100,64,86
0,9,28,5,41,129,70,62,35,13,59
0,51,53,4,86,64,114,26,96,14,85
0,86,53,6,7,78,100,30,32,59,1
1,128,14,93,21,19,35,120,62,5,18
1,18,64,136,128,39,101,6,2,30,68
1,138,49,1,6,90,30,10,27,35,96
1,21,34,67,53,55,114,87,62,74,69
0,26,53,52,89,71,119,67,40,129,100
0,23,138,13,81,36,14,62,98,22,109
1,112,71,6,35,47,53,8,87,28,51
0,17,7,104,119,48,47,44,72,31,41
