radiant_win,rhero1,rhero2,rhero3,rhero4,rhero5,dhero1,dhero2,dhero3,dhero4,dhero5
1,2,89,21,57,8,79,7,11,18,88
1,14,5,36,81,67,56,71,26,73,104
1,67,25,9,104,62,17,56,42,45,16
1,23,63,25,31,44,74,100,1,87,33
0,11,28,101,8,70,106,91,36,18,62
1,64,40,83,104,2,74,93,86,7,95
0,2,9,35,93,7,85,96,75,30,73
1,7,51,25,49,79,68,106,21,33,39
1,34,73,112,7,50,84,55,93,21,68
0,5,41,64,99,11,90,4,93,26,21
1,92,6,28,37,91,46,68,112,106,88
1,28,14,71,25,11,75,6,74,39,31
0,87,62,93,26,74,106,71,21,86,28
1,61,44,63,50,54,41,35,28,59,84
0,51,95,87,106,26,1,2,85,21,57
0,50,111,28,41,21,42,8,36,26,2
1,96,50,21,1,84,47,104,112,34,54
1,57,7,5,21,14,112,98,1,4,30
1,11,84,20,73,47,44,2,68,8,21
1,83,39,33,13,99,50,2,11,5,1
1,22,21,86,1,35,93,14,71,75,74
1,5,112,67,106,53,82,11,7,8,57
1,88,76,14,1,30,9,5,74,21,41
0,35,72,14,75,73,42,13,111,11,86
0,39,38,12,7,2,106,87,111,71,8
1,35,59,81,102,95,75,101,100,55,57
1,19,33,55,50,11,99,1,14,73,21
1,55,71,25,12,70,74,14,8,33,42
1,38,93,7,74,33,106,31,39,69,112
1,19,35,1,5,55,14,104,31,69,11
0,84,88,81,76,1,9,102,73,65,75
0,74,62,16,44,87,91,28,51,42,7
1,31,75,18,16,17,106,47,30,44,33
1,39,74,30,18,7,26,42,61,91,81
0,99,39,105,71,60,42,63,73,5,31
1,35,94,87,103,84,12,4,99,92,14
0,60,21,19,50,28,62,71,39,12,82
1,73,7,4,57,2,1,75,100,27,85
0,63,26,101,6,88,104,105,21,73,54
0,34,1,5,9,100,69,87,40,22,27
0,39,102,54,12,5,73,69,14,7,46
1,100,7,102,53,6,39,82,8,104,73
1,8,11,19,30,84,21,100,44,50,63
1,8,21,107,74,5,100,72,11,75,3
1,9,21,42,33,7,60,106,39,2,75
0,44,86,26,6,9,4,93,32,57,3
0,44,5,11,84,104,50,53,100,21,1
1,21,69,22,75,70,16,42,25,96,88
1,104,11,36,20,31,35,50,102,105,18
0,41,46,74,94,68,21,1,69,34,70
0,83,69,86,93,21,1,112,36,51,46
1,75,104,14,19,84,39,33,70,63,91
0,98,27,57,11,1,74,87,12,62,104
0,41,54,74,30,14,51,31,72,11,93
1,51,75,72,100,40,21,19,67,14,20
1,42,22,14,83,106,11,5,71,67,98
1,7,42,14,73,31,71,74,51,67,79
1,67,51,84,11,62,7,55,21,19,30
0,62,74,8,13,71,19,100,102,55,11
0,27,70,22,59,5,1,6,48,32,75
1,71,95,30,100,11,14,28,106,72,7
1,67,21,71,20,46,33,11,41,69,36
1,57,69,60,1,51,85,74,39,70,19
0,102,51,59,112,11,21,68,42,60,31
1,67,39,69,75,63,13,26,100,6,25
1,34,18,85,87,27,112,28,30,55,46
1,39,9,14,1,112,73,13,68,44,69
1,21,14,68,46,63,73,54,30,15,84
0,25,51,21,54,48,22,104,112,8,84
0,5,19,1,71,34,26,106,53,9,67
1,36,106,5,12,90,85,7,72,53,11
0,8,54,57,56,27,41,110,3,98,25
0,69,56,21,16,101,48,1,75,105,19
1,8,63,87,85,21,37,60,32,26,47
1,72,37,40,85,67,69,21,100,102,1
0,51,23,21,39,14,74,19,87,69,7
0,14,69,11,106,75,21,22,104,50,86
1,26,4,107,5,67,39,28,36,16,112
0,100,18,48,104,8,21,14,75,60,67
1,67,26,11,86,85,1,34,30,60,92
1,95,100,101,2,82,21,9,3,36,84
0,84,35,21,44,99,78,86,88,42,73
0,74,37,8,69,7,97,11,68,28,50
1,4,68,19,62,8,40,36,1,104,80
0,10,85,70,11,79,21,104,20,50,19
1,21,85,7,81,31,3,50,46,28,8
1,85,67,51,9,11,20,8,112,19,21
0,106,74,12,57,21,25,50,70,28,33
1,67,106,27,14,21,7,99,17,23,32
1,21,106,26,55,36,109,57,104,23,71
0,100,93,21,101,107,112,7,82,106,36
1,52,11,6,26,84,62,31,19,106,55
0,6,85,96,89,25,14,71,57,23,21
0,7,68,39,73,69,11,100,71,70,72
1,91,19,104,99,86,109,12,62,14,100
0,88,48,100,28,20,80,51,37,22,109
1,35,100,68,73,112,11,14,67,86,21
1,1,100,5,39,67,11,104,71,93,30
1,74,69,99,23,26,104,39,85,60,93
0,18,74,73,112,86,6,21,34,99,7
1,8,11,104,20,14,19,100,44,98,26
1,44,75,86,51,11,18,91,39,106,40
1,21,73,103,5,62,26,70,32,28,17
1,51,22,41,68,21,59,99,5,86,73
0,75,21,39,28,86,70,93,11,26,32
1,72,55,69,7,100,8,3,110,68,21
1,7,38,63,62,72,73,71,18,27,53
1,74,65,36,77,28,63,5,20,25,72
0,72,14,19,96,30,75,8,84,31,85
0,11,59,29,62,30,74,42,104,37,100
0,1,27,7,57,39,11,40,37,75,25
1,93,67,5,105,99,11,109,64,73,36
0,1,100,112,62,39,21,2,8,30,26
1,28,50,11,1,35,95,79,46,12,96
1,109,16,82,32,56,28,50,59,14,9
1,11,85,100,42,62,71,21,93,30,67
1,38,68,42,63,22,104,74,44,50,53
